frequency_hz,V6,V8,inline-4,inline-6,single-cylinder
1399.658203125,-8.843353760696342,-11.904202941353041,-9.63604734933223,-10.527972143958976,-8.968096263081508
1410.4248046875,-8.897666815565106,-11.966066803800533,-9.661159047634042,-10.566142361447458,-9.034718616911483
1421.19140625,-8.969733460598558,-12.027494556347033,-9.698649077701276,-10.604636424486939,-9.106928160113524
1431.9580078125,-9.051302444618415,-12.09375679537667,-9.723752727619027,-10.651823450072895,-9.18425056476278
1442.724609375,-9.085367498749928,-12.16894082788631,-9.753694726249439,-10.669285510299046,-9.27774580628156
1453.4912109375,-9.11482188484166,-12.214524931989697,-9.834014552844334,-10.681433152427315,-9.314601151508494
1464.2578125,-9.163357443745863,-12.28840351301892,-9.869274469310302,-10.753039995859462,-9.413675577088151
1475.0244140625,-9.235343244767563,-12.338226554461588,-9.933291219594494,-10.735988877153433,-9.48384042416726
1485.791015625,-9.326733112346762,-12.384265136418303,-9.955151462081473,-10.789323065526288,-9.550904758918211
1496.5576171875,-9.371948153888216,-12.424638510917564,-9.99204696939956,-10.824120762230677,-9.621428729546745
1507.32421875,-9.442236701754506,-12.488600229019504,-10.072166779079513,-10.836111952000136,-9.708703023313905
1518.0908203125,-9.47441809217624,-12.550383991878515,-10.128467409142534,-10.845384083546199,-9.787621080042149
1528.857421875,-9.492815058856152,-12.607761433960071,-10.193920083641167,-10.85067283055389,-9.851853894603996
1539.6240234375,-9.523929005380975,-12.65336313886737,-10.296495231999613,-10.890667745935604,-9.886833502599524
1550.390625,-9.583605813810337,-12.73181300619435,-10.33572250793002,-10.90437802319848,-9.960298543285589
1561.1572265625,-9.604133399532156,-12.781860261991444,-10.416408860410609,-10.888296017434866,-9.988575810247012
1571.923828125,-9.634529660155842,-12.834300338121533,-10.465663671027034,-10.944272239114143,-10.069062459407595
1582.6904296875,-9.626295861070997,-12.894126560477666,-10.547338677670096,-10.928421156208168,-10.095095212508953
1593.45703125,-9.687586944101206,-12.960098535698652,-10.61615329924173,-10.927403173593957,-10.154237372443733
1604.2236328125,-9.705269807703008,-13.000171171477941,-10.690648546320082,-10.972050975705702,-10.17029702580995
1614.990234375,-9.737660543499029,-13.037504146216811,-10.750861753263699,-10.962546027322254,-10.196239667910376
1625.7568359375,-9.768662465130308,-13.085276117004252,-10.808870569947556,-11.009762704492502,-10.19308851930769
1636.5234375,-9.781986562335497,-13.099077349370766,-10.8649401612887,-10.989859737505869,-10.248464604510836
1647.2900390625,-9.78192250307455,-13.123701434473283,-10.915947448301266,-11.008790971062503,-10.230055101886157
1658.056640625,-9.802321222380215,-13.11409737174451,-10.96084855125429,-11.030069101489183,-10.25236752380697
1668.8232421875,-9.78509948086856,-13.126532368072485,-11.063378079724924,-11.003832497566952,-10.259511884496055
1679.58984375,-9.813862108875938,-13.085722142848098,-11.085883103888857,-11.017593645265109,-10.2880262917375
1690.3564453125,-9.777554356386116,-13.050996374113481,-11.150419645045172,-11.026525421882376,-10.292948930684044
1701.123046875,-9.807758334106637,-13.022707488350946,-11.19417757223149,-11.047327780538007,-10.301843095318873
1711.8896484375,-9.826571041315479,-12.993968170381628,-11.239614900656832,-11.081570857331906,-10.273773218636828
1722.65625,-9.88621803325762,-13.009873024318164,-11.2958786587691,-11.094995216868892,-10.287578146266096
1733.4228515625,-9.944848706625233,-12.986295036118197,-11.353595849166568,-11.118529612933175,-10.25932913722803
1744.189453125,-9.984783132626532,-12.967199134039834,-11.40559367181993,-11.16118766497507,-10.259310593687523
1754.9560546875,-10.049413461815092,-12.947299958604574,-11.446704728536012,-11.15850882330693,-10.25023487261917
1765.72265625,-10.084705587522777,-12.943267737417674,-11.477001560431876,-11.20712058920558,-10.219176317813616
1776.4892578125,-10.11966382102107,-12.95001732363993,-11.557752180631448,-11.227145669241706,-10.198679775202228
1787.255859375,-10.161562957194683,-12.937706491988873,-11.589929976718079,-11.257657814198254,-10.18355820518077
1798.0224609375,-10.211323512115744,-12.96413911802303,-11.609657605444909,-11.24158523225908,-10.191405838208835
1808.7890625,-10.213694483970421,-12.944254666116734,-11.654983563509106,-11.28892827072587,-10.20030670345002
1819.5556640625,-10.222294326383505,-12.924200571243595,-11.698153886802839,-11.273212725276164,-10.20921708132156
1830.322265625,-10.221819053708593,-12.934517596396859,-11.710741721393546,-11.325698007424537,-10.18512362087211
1841.0888671875,-10.238524103655521,-12.924740844573606,-11.758612972952102,-11.349547792573574,-10.201597107634607
